reviewText,overall,Sentiment
...and they're right!This microSDHC card is fast. I started formatting it a little behind another class 10 card (not a UHS-1) card and it formatted all 32GB ahead of the Transcend 16GB card - which is no slouch either! It's the fastest flash card I've sent yet. I doubt you will be disappointed unless you're an alien with more advanced technology.,5,Pozitif
"Once I figured out the S3 wasn't liking the exfat file structure and formatted to fat32 it works quite well. I don't know if it's the phone or card and I'm not about to test it elsewhere, but I didn't see the 30MB/s speeds. It works good enough for the phone and it's the best option I have for the biggest storage for now.1080P videos with no issues. No problems with read/write stability. Overall I'm happy I bought it.",4,Pozitif
Works fine in a Samsung Galaxy Note 2 - no need to format (although I did) - recognized as soon as it was popped in 59.47GB usable.Arrived really fast and nicely packaged.  I would order again.,5,Pozitif
"This card is pretty cheap for how tiny (physically) and large (digitally) it is - at least in mid 2014. I got it to extend the storage capacity of my Surface Pro 3, and it has done just that. I can store files on it so that I don't have to take up precious space that can be dedicated towards programs since the Surface Pro 3 has a full Windows 8 on it. It also doubles as a storage device for my GoPro Hero 3 Black, but I have a faster card for it to prevent the freezing issue. The size of this micro SD card just does a great job in storing data like videos, photos, and music. It fits in most devices that are moving to Micro SDXC, such as phones, tablets, and my beloved Surface Pro 3. I highly recommend this card if you just need to extend the storage of your device. Reconsider a faster card if you want to record video straight to it, like with a GoPro.",5,Pozitif
It's a good capacity but the speed is slow that is almost 10M...but it's acceptable to me. I like it.,4,Pozitif
"I bought this to use as expanded storage in my Asus Transformer Book T100 but it was unstable and I have had to return it. Although the tablet would see the card when it was first inserted there would be errors trying to copy files onto it and then Windows would indicate that it needed formatting. If I tried a quick format then everything seemed to be OK but the instability would return as soon as I tried to copy data to the card. If I tried a full format it always failed.I gave it two starts because it seemed to work using the supplied SD adapter in a Windows 7 laptop. I was able to do a full format on that but, when I put it back into the tablet, the problems continued. The tablet is compatible with SDXC cards and, when I tried a different micro SD card in the tablet, it worked fine so I assume it was a problem with this card.",2,Negatif
"I've used many others, and this is average. Its in my son's android, and I don't really think the application its in right now is a the best way to determine its speed / performance.  Otherwise it does what i want it to.The adapter will come in handy later.",4,Pozitif
"I bought the SanDisk 32 Gb micro SD card (class 10) in Dec for a new Galaxy S3. I used it for songs and video and pics. It started acting flaky in April and would unmount itself and then remount and I had problems with playing music. Then it completely died and would not even reformat. This is a known issue, and I will write back after I try to get SanDisk to replace it.",1,Negatif
64 gb of fast microSD storage at a great price.  What's not to love?  Works perfectly with my 64gb Dell Venue Pro 8.,5,Pozitif
"I bought this the day it came out for the great price of $119.99 and it finally showed up a month later. (I knew this going in). I put it in my Galaxy note 3 and it instantly recognized it and I was set.Speeds in my laptop via the included adapter ranged from 15-30mb read speed and about 12mb write speed. I copied an entire 64 GB card over to this one, and it took some time, but now I have double the space.",5,Pozitif
"Got this to use with my GoPro, give 2 hours of recording time, once II figured out how to use the camera.",5,Pozitif
"no problems works well does what it is supposed to do, store files.  Pretty quick read and write speed as well",5,Pozitif
"Good amount of space for the stuff I want to do, and fits in my GoPro. What more can I say?",5,Pozitif
I bought the Sandisk Ultra 32gb card for use in my Samsung smart phone.  Worked great for about 3 months.  Now the phone won't recognize the card & neither will my computer.  Just went unreadable one day.  Very disappointed in the reliability of this card.  Will contact Sandisk as it has a lifetime warranty.  Shall see if they'll stand behind their product.,1,Negatif
Received my card in a decent amount of time and it was packaged well . The memory card was crispy brand new and in perfect condition . After installing the card in my video camera it worked perfectly! Very good deal.,5,Pozitif
"I own a first generation Microsoft Surface Pro 128, and it has been a good machine but I was really finding it challenging working within the constraint of 128GB of storage space. I had a 64GB Class 10 SDXC card, which worked well but was not going to fit the VMWare virtual machine I wanted to run off the SD storage. The Virtual Machine increases in size with regular use, and the operating system I was running is recommended for at least 40GB of max storage to operate properly.  Combined with the files I needed to store, and 64GB memory chip was no longer sufficient.The SanDisk Ultra 128GB MicroSDXC Class 10 Memory Card was able to handle that with ease, however I have found that the virtual machine ran noticeably faster off the 64GB chip than this one. I've actually ordered a second of these to see if I might have just received a flawed chip. If the replacement chip offers improvement I will revise this review. It provides its main selling point, more storage at a relatively low cost, so far has run reliably in my tablet computer.If storage space is a significant issue for your device and the memory can make use of 128GB SDXC, then I would recommend product.",4,Pozitif
"I love the 64GB capacity, and it is compatible with my devices.  I have one in Go Pro Hero3 and one in a Samsung Galaxy 7&#34; tablet.",5,Pozitif
"the first 2 I bought both had multiple problems with not being recognized, this one so far has had no problems.",4,Pozitif
"memory cards best in world. The memory card completely corresponds to the description. I am happy, my smartphone is happy, my tablet is happy. amazon thanks",5,Pozitif
"Absolutely a perfect MicroSD Chip.4500 songs were transferred into it, effortlessly and I have  balance of about 50% of usable space.SanDisk is a synonym with all Engineers and I need not add any thing to glorify it.Thank you SanDisk thank you AMAZON.SincerelyKJ Kumar",5,Pozitif
I bought this for my 6yr old's Nabi tablet. Thing works perfectly allowing him to download music and games with ease. Loved the price and trust SanDisk products.,5,Pozitif
"Great speed, great capacity, great price, and fits great in my HTC Evo Design 4G Android phone. I recomend it.",5,Pozitif
"Great chip, bought it for use in my raspberry pi projects as linux hard drive.Very fast.Real deal.Price was excellent.Nice to get real chip, instead of cheap nock off, often sold as brand name card.",5,Pozitif
"This is my first SanDisk card, I have a bunch of other brands.  I use this one in a tablet.  It works great!  Really love the lifetime warranty that's included. So far so good!",5,Pozitif
Phone missing extra storage space? This was a great purchase and at a great price with Amazon. Would recommend for the movie watcher or photo/music enthusiast.,5,Pozitif
"I got several of these for my tablet.. So far I am very happy.. Actually I have one in my phone, one in my tablet, and one as a backup for traveling.. So far they have been great for me...",5,Pozitif
I use Sandisk exclusively for serious pro-sumer work including 4 hour concert videos. I've never had a problem in 3 years and wouldn't use anything else.,5,Pozitif
I got this to add some room on my Samsung Galaxy S3. It works great. I do not have any complaints.,5,Pozitif
"I have been pleased with the performance and price point for this card. No complaints, I would recommend it based on price & performance.",5,Pozitif
"64GB for this price is a nice deal, especially when you are trying to add storage capability for a tablet or phone.  Keep in mind that not all phones/tablets/devices support 64GB, so you may have to get the 32 GB instead.  Performance is very good, especially when weighing with price and capacity.",5,Pozitif
"It's a 32Gb micro card, it works well and haven't had any issues with it. Would recommend if you are considering.",5,Pozitif
This card is one of the fastest SD cards on the market. It works great for your Samsung Galaxy Note II. No issues with installation or device recognition. Highly recommended.,5,Pozitif
"I've wasted time and money trying other company's SD and MicroSD cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. Let me tell ya, SanDisk makes the best memory cards, period..... I bought one of this card for my Samsung Galaxy Note 2 phone, mostly for movies and music. I usually use AnyDVD & Handbrake programs to convert movies (large MP4 also playable on my Samsung tablet) and simply copy-and-paste movies and musics on this little card. Both my phone and tablet read this card without any problem and I cannot imagine my phone without it. Now I've bought 2 more....",5,Pozitif
"I have had cheaper SD Cards in the past, but they almost always wound up letting me down. I made up my mind some time ago that I would stick with SanDisk and have been completely satisfied with all my cards from them ever since. This card sits in my wife's phone and is used to store all her music and pictures. It has been in & out close to a dozen times (because I like to fiddle with stuff) and as proven very durable.In case anyone wants to know, &#34;Class 10&#34; is the only way to go with these cards (until they come out with something faster), the read/write speed is well worth the few extra bucks for my needs.I also have a &#34;Class 10&#34; 64 GB in my Galaxy SIII and it's as good or better. I even got it wet (I mean soaked) and it is still working like a charm.I will definitely recommend this to anyone, and will be sticking with SanDisk for all my other devices.",5,Pozitif
it was already formatted and ready to go.  just plug it in and start recording - nothing more to say for a storage device - just want it to work with no hassles.,5,Pozitif
"A truly great value, not nearly as expensive as I thought it would be. Lots of memory and good speed as well.",5,Pozitif
I have purchased and used several SanDisk memory cards and I have never experienced any issues with those cards.  One of my first choices when I am in the market for a memory card,5,Pozitif
"I'm running a live Linux system off of this card right now, via a USB port.  Seems to have good read/write speeds and is durable.",5,Pozitif
Good quality memory card. Have used it with the GoPro Hero 3 and works flawlessly. Wished all electronics were this simple,5,Pozitif
Upgraded from the 32GB and very satisfied. Works great with my phone and large library of music. Def would reccomend.,5,Pozitif
"Good product, no problems. I have this installed in my Samsung Galexy III. works well even in super HD video.",5,Pozitif
fast and holds all my music and larger apps.,5,Pozitif
Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,1,Negatif
The internal memory on my ASUS tablet is kinda slow.  I installed this bad boy into my tablet and install the OS onto it.  Now the tablet runs nice and fast!,5,Pozitif
Pluggesd in the MicroSd csrd and it worked perfectly!  SanDisk has a solid performer here.  I'd recommend this product to anyone neededing this level of storage and speed.,5,Pozitif
Got this to shoot in HD. It is working really well so far. It is handling HD recording and playback great.,5,Pozitif
This is a great price for such big storage and it's does a great job with my first smart phone.,5,Pozitif
"I love this storage unit. I would buy again definitely. Great for pix, videos, docs, or whatever you want to store. I have  it in my ME173x.",5,Pozitif
I bought this memory card for my Samsung Note 10.1. i amis really happy about it and i am recommending this product & am very pleased about it.,5,Pozitif
"I bought this for an Atrix HD. The specs say maximum 32Gb, but 64 works fine with a formatted capacity of around 58GB.I did a speed benchmark here (I don't know if Amazon strips links)[...]",5,Pozitif
"Got this for my girlfriend for the tablet I bought her, she love this as she can now put all the music and pictures on her tablet that she wants and doesn't have to worry about running out of space anymore.",5,Pozitif
"Perfect.  Took card put old 32gb card and transferred it over to it in the computer.  (while my Samsung galaxy s5 was off).  Then inserted it in my Samsung galaxy s5, powered up and it was like I had never took the 32gb card out.  Read ringtones, programs stored on external sd card, everything - no errors, no glitches.  Connected the phone to the computer via usb cable and (usb 3 slot) and in no time my 75gb of music was transferred to my phone and it all read and is working perfectly.  I could not be more pleased when a products works like it is supposed to.",5,Pozitif
Bought for my wifes Samsung Galaxy 3 Tab. Lots of storage for pictures and music. Good product at reasonable price.,5,Pozitif
"Massive memory boost to my Captivate Glide.Holds all my music, files, etc and i still have 20GB free! O_OTransfer speeds are great!Really worth the price!",5,Pozitif
Got this for the Dell Venue 8 Pro and it works perfectly. No complaints. Here are more words to complete my review.,5,Pozitif
"Seemed to work well at first.  Then, I noticed the phone started mounting/unmounting the card. When I tried to update some music files on the card, I think it has failed.  My computer can no longer see it in the phone when the two are connected.Okay - an update here. Since I posted the problem on Amazon I was contacted by Sandisk. I made one phone call, they took my information, e-mailed me a pre-paid UPS label, and I sent the card in. I couldn't believe it, but I think I had a new and improved card in about three days!  Yes, the first one lasted a little over twelve months, but the replacement was tendered no questions asked. Great service that can only be five stars.By the way, the replacement is working great!  I ordered a 64gb Sandisk microSDHC Card as well!",5,Pozitif
"It may be that the internal SD slot of the 2012 Mac Book Air is not too fast perhaps?  I am very disappointed that I can only achieve 4-9 MB/s of write/read speed.  Makes me remember speeds of 5 years ago.  Again, this may be the computer's fault, but I am not too happy...",3,Negatif
"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5,Pozitif
"Wanted a larger faster card for my razr maxx, running on CM11/Android 4.4.  For the price this card was the best option.  My phone had no problem using it in the default exfat partition.  Is much faster than my old card.  No problems with it.  Couldn't be happier.",5,Pozitif
"When purchasing a memory expansion for my electronic devices I typically purchase from SanDisk.  It is a trusted name and does what I need when I need to do it, like feeding the chickens or mowing the lawn, Sony and Ultra can't do that....",5,Pozitif
You do need to have  the right equipment to use as very few can access these.  Only newer and equipment that CLEARLY STATE can use these will work so be aware.,5,Notr
does what is was designed,5,Pozitif
The card worked great at first. I've never had a problem with Sandisk in the past but I bought this card for my Galaxy S3 back in October and it was dead by December. I'm sorely disappointed by this purchase. Maybe it's just a faulty card but my experience was terrible so this gets one star.,1,Negatif
Has a fast response time.Your going to need to buy one of these eventually since smart phones are advancing and so are the tablets coming out.Slided it write into my phone and worked like a charm on the first try.Pictures and apps load really fast with no lag time.Love it so much im going for the 64gb and always class 10 for me.1 less thing to worry about.,5,Pozitif
"So, I was looking for a card to put all of my music on for those occasions when I have my phone but don't have my HD Zune -- which by the way is the BEST music player EVER and it's just a low-down shame they don't make them any more -- and this card holds all my tunes with about 4GB to spare. Excellent speed for music playback, excellent capacity.  Would be nice to get it in 128GB, but the price of those is simply not reasonable.",5,Pozitif
Great deal for a great product. Recommended for anyone needing to expand the memory of their portable devices. Comes with SD adapter for use in card readers.,5,Pozitif
"I got this for my Samsung Galaxy Note. After reading various reviews and comparing different micro SD cards, I decided to get this. One of the main reason was because of the speed of this card (UHS-1). The card has been good to me and I'm happy with my purchase.",5,Pozitif
"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",5,Pozitif
"SanDisk is one of the top brands for removable memory. As expected, this worked right out of the package. I use it with my GPS.",5,Pozitif
"I bought this with the sole intention of putting it in my Samsung Galaxy S3. I had to use a tool to format the card to FAT32, but once I did so, the card worked great. I have been taking advantage of the extra room I have for music, videos, pictures, etc. The SD adapter that comes with this is also handy.The transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. Other than that, I'm completely satisfied.",5,Pozitif
"I like it comes in handy fits good with my Galaxy S5 smartphone, no problem with filing data on a computer.",3,Pozitif
"It does what it says it will do - unlike most people I know.It also handles very cold temperatures well, too.",3,Pozitif
"Its just amazing the amount of storage you can get in the size of a pinky nail.  I have this mounted to my phone filled with music, documents, pictures and all of my mobile phone records and messages from the past 3 phones.  Still have plenty of room left and no issues.",4,Pozitif
"Works as described, good packaging, fair price, and i have no issues with the product up to this point.  thanks.",5,Pozitif
Great little card. I have had issues with my phone chewing them up and spitting them out pretty frequently this card seems to have solved that issue for me.,5,Pozitif
"The chip worked fine, fit perfectly, but it is SO TINY, if it falls out you are going to have a hard time finding it.If your application is a Tablet, or pad, if it has a &#34;push-in&#34; holder...you will want to put some tape, or other securing agent across the top of the chip and onto the Table sides.  If I had thought of it, clear finger nail polish would have worked just fine, or even a half drop of super glue on the top.I didn't, and it's forever gone now.  I changed from Android to Ipad and very satisfied that I upgraded to Apple.",3,Negatif
"Got this for my galaxy s3, fits well works fine. I moved all my stuff from the phone to the card and working great!",5,Pozitif
"I bought this to use on my tablet (an Asus Transformer TF101) to backup some of my data before I flashed a custom ROM. Works as expected out of the box; no formatting or fiddling needed. It comes with an SD card adapter and a little plastic case for it and the adapter. Android and the recovery kernels I've used have no trouble detecting whatever the default filesystem is on it.The one thing I would note: if you have an older SD card reader on your computer, it may not be able to read HC or XC micro SD cards. You may want to check if your read supports them.I recommend this to anyone who needs a SD or micro SD card for any purpose. It's cheap, tiny, and has massive storage capacity for it's size, so long as your device supports it.",5,Pozitif
This mem card is fast and does exactly what is supposed to do...save pictures quickly and have plenty of room for more.,5,Pozitif
Bought for my phone and its worked perfectly for quite a while now. Great size and great price. Cant go wrong with this.,5,Pozitif
"I purchased this product to install in my Garmin GPS unit, since it was full and couldn't handle the new map updates. Easily and securely installed, this memory card promises to provide a long life to my GPS unit.",5,Pozitif
"I bought this for a Note 3, but I am still waiting for Verizon to ship. Meanwhile it works great with my Note 2.",5,Pozitif
Yeah baby. Love getting this amount of memory for so cheap. I'm not a pro but for everyday use it's a great deal.,5,Pozitif
"This is the fastest MicroSDHC I've used.  I got it for a tablet but it turned out the tablet had no MicroSDHC slot when it arrived.  So, using it for a 10.1MP camera.  It writes very quickly and then off to the next shot.  I'm quite pleased with the performance of this card.I think there may be cards even faster.  But this suits my needs of casual photography.",5,Pozitif
I bouthg this memory because in my contry not to many stores seles good product... and I well buit again over and over... iplication on my phone wrock great... whet i get a chance... i well by the 32g...,5,Pozitif
I normally buy the SanDisk Extreme for my GoPro but decided to try the Ultra to save some money.  So far it seems to work good.  I have not tried to shoot at 4K yet although it seems like it would work.,5,Pozitif
"im so upset right now it just died , turned on my phone and all my movies pics music all gone. card just died after three months bullcrap.",1,Negatif
"Needed more storage space for photos and videos on my phone and this fit the bill, nice and fast and now I have 40 gig free on my phone.",5,Pozitif
"I always use SanDisk so they were my first (and only) option when I got my GoPro.  They are fast and they are good.Can't say too much, SanDisk makes the best cards, period.",5,Pozitif
Can't go wrong with this class 10 card cheap and works great may have to buy another one as a spare.,5,Pozitif
I want to upgrade the memory to my Samsung Note II. It is great to be able to instantly double my storage capacity. I am waiting for the 128 GB to down in price.,5,Pozitif
Bought this over a month ago and it still works great. been using it in my gopro 3+ snowboarding taking some heavy falls and have had zero issues!,5,Pozitif
I love the class 10 uhs memory card thank you onedog,5,Pozitif
"Well I was almost going for less space memory for my Sony Xperia ZL, but wow 32 GB of memory is a must these days I love my choice and this product works very good! Excellent.",5,Pozitif
"I just don't get what has happened to SanDisk quality.  It seems to have gone down over the years.  This product was glitchy from day one.  I thought it would be fine after a quick check disk, but then it only got worse.  After less than a week I have to return it.  What upsets me is that this is not my first bad experience with SanDisk products.  I used to buy them all the time, they were my brand of choice for flash memory (cards or thumb drives).  The last three products I have bought from them have had problems and failed either immediately or shortly after usage.  So I give up.  I will start looking to other companies for my memory needs.  I bought a Transcend to replace this.  I hope it works out better.",1,Negatif
"I have nothing bad to say about this product. the packaging indicated that it was new, never tampered with. it came in the mail on time and I have had no issues with the card overheating like some other reviews have mentioned. I like that fact that now I have 16GB of space and this means I can have more pictures and home movies on my phone to share. Also music for when I'm working out. Great buy and for the price I really like it. I recommend it and will be buying one more for another phone.",4,Pozitif
"The description on the Amazon page calls this a class 10 card with UHS-1 performance.  And while technically correct, (Full HD 1080p recording). You would expect more performance in the Sequential Write speeds.  It actually doesn't even hit the class 10 speed unless you round up (9.951 MB/s).  I have 2 of these cards and they both report the same speed.  My Kingston 8GB SDHC Class 4 writes at 11.854 MB/s.  Now keep in mind the Sandisk beats the other cards in the random reads and writes.  So maybe the design for those faster random reads and writes causes the sequential writes to run slower than expected.  Here is the test for the San Disk followed by the Kingston-----------------------------------------------------------------------CrystalDiskMark 3.0.2 (C) 2007-2013 hiyohiyoCrystal Dew World : [...]-----------------------------------------------------------------------Sandisk Ultra 16GB Class 10 Micro SDHC (UHS I Speed?)* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read :  20.651 MB/sSequential Write :  9.951 MB/sRandom Read 512KB :  20.191 MB/sRandom Write 512KB :  2.628 MB/sRandom Read 4KB (QD=1) :  3.656 MB/s [  892.5 IOPS]Random Write 4KB (QD=1) :  1.665 MB/s [  406.4 IOPS]Random Read 4KB (QD=32) :  3.293 MB/s [  803.9 IOPS]Random Write 4KB (QD=32) :  1.618 MB/s [  395.0 IOPS]Test : 1000 MB [F: 0.0% (0.0/14.8 GB)] (x1)Date : 2013/03/26 21:28:09OS : Windows 7 Home Premium Edition SP1 [6.1 Build 7601] (x64)=======================================================================-----------------------------------------------------------------------CrystalDiskMark 3.0.2 x64 (C) 2007-2013 hiyohiyoCrystal Dew World : [...]-----------------------------------------------------------------------Kingston 8GB SDHC Class 4* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read :  20.287 MB/sSequential Write :  11.854 MB/sRandom Read 512KB :  19.925 MB/sRandom Write 512KB :  1.728 MB/sRandom Read 4KB (QD=1) :  3.747 MB/s [  914.7 IOPS]Random Write 4KB (QD=1) :  0.017 MB/s [  4.2 IOPS]Random Read 4KB (QD=32) :  3.684 MB/s [  899.5 IOPS]Random Write 4KB (QD=32) :  0.017 MB/s [  4.3 IOPS]Test : 1000 MB [F: 53.3% (4047.8/7592.0 MB)] (x1)Date : 2013/03/27 10:48:56OS : Windows 7 Home Premium Edition SP1 [6.1 Build 7601] (x64)",4,Notr
It's A good reliable product that I can always rely upon. I highly recommend it to anyone looking for a micro sd.,5,Pozitif
"The memory card works well and I have no problem with it. It was one of the cheapest out there. Came with adapter, so that's convenient.",5,Pozitif
I bought this memory card to replace a 4gb memory card in a ZTE valey phoneand it works great.,5,Pozitif
I bought this for use with my gopro hero 3 silver and I have had no complaints. trhgtr thth h r,5,Pozitif
"What else can I say... this SanDisk 32 GB class 10 works like a charm in my Galaxy SII i9100 (unlocked). If you're upgrading from an old smaller microSD card, I did this:1. Create a .img file of the old microSD with HDD Raw Copy Tool (freeware)2. Recover the saved .img file in the new microSD card with HDD Raw Copy Tool* Since the old microSD had only 8 GB, the new microSD card will have only 8 GB D:3. Install Minitool Partition wizard (freeware) and choose the new microSD.4. Choose the Move/Resize option.5. Drag the space to the full size of the new microSD card6. Don't forget to Apply7. Put the microSD in your phone and there you go all your stuff and apps saved to the microSD working.",5,Pozitif
"The card was perfect.Bought it for my Virgin Moble Smart phone as it only had a 2 gig card in it.Their Geek squad told me I needed a larger card as my memory to download applications was almost out!! (Only had 2 dowloads on it!!!).After purchasing and  inserting the expensive card, I got the same screen --- can not download applicationas memory is almost filled.Turned out the memory card has no bearing on applications being downloaded - they are  stored on internal built in memory.Seems the phone I was suggested to purchase only has 2 gigs of internal memory.Was not told to me when I got it",5,Pozitif
reliably turns my blackberry into a jukebox full of music & video files no buffering or stuttering to catch up,4,Pozitif
"I bought this for my LG Optimus G Pro, to hold my 24 GB music collection - it works great.  It took a while to transfer all my music, but that can be expected.  Once I popped this into the phone and started us the music player, it found a cataloged all my music.  I don't like the latest default Android music player, but that's another story (and there are other music players you can download).",5,Pozitif
"Super fast access to my Samsung Galaxy Note II. SanDisk Ultra Micro HC is blazing fast compared to the other microSD cards I have bought including PNY, Sony and more!",5,Pozitif
"I needed this for my Samsung Galley tablet. It's doing the job it was needed for. I really didn't need the adapter, but most all micro SD cards come with them.",5,Pozitif
Purchased this for my Galaxy S3. Went from a 32 GiB internal to a total of 64 GiB of storage. The card hasn't presented any problems and seems pretty speedy. I use it for storing all my nandroid backups and ROM downloads.,5,Pozitif
"I just popped it in my Sony Xperia Tablet Z .  It works.  There is no sense that I will ever run out of room.  If I was using it for work that might be different, but I could just change with a new micro sd card.  I don't know why all tablets don't have a port for one.  I feel confident with the SanDisk brand.  I have never bought a bad SanDisk product.",5,Pozitif
I always buy SanDisk when thinking of micro memory.  This memory is fast and holds a lot!  I use it as extra storage within my hotspot.,5,Pozitif
"Works great in the Samsung Galaxy S3 phone. I purchased one for my phone and one for my son's phone and they both work great! We've had no problems with either card. My son loves that he was able to put his whole music library, several translator apps and bible versions, along with several movies on his phone to take with him on a mission trip to Peru and still had room to store thousands of photos he took while there. Being able to use a card like this is one of the main reasons I switched from an iPhone to an S3. Love it!",5,Pozitif
This item works great with the Garmin Dash Cam 10 and Garmin hand held topographic GPS. Good value/deal for the money.,4,Pozitif
This item was priced right and fit right into my cell phone without any issues. Does what it is suppose to do and I don't know what else I could say. Being a class 10 it is suppose to be plenty fast for cell phone use which I am sure speeds up camera use to some degree. Has worked well and the shipping was fast.,5,Pozitif
"Product: SanDisk Ultra 64 GB microSDXC Class 10 UHS-1 Memory Card 30MB/s with Adapter SDSDQU-064G-AFFP-ARating: 5/5 (Excellent)People buy MicroSD cards with 4 primary criteria in mind: (1) Storage Capacity, (2) Price, (3) Reliability/Compatibility/Availability, and (4) Speed.  When I bought the u64 back in Feb 2013 (not long after its release) it was the largest and fastest MicroSD available at the time, and it weighed in at a good price and backed up by SanDisk reputation.For me, and my Galaxy S3 {SCH-i535, currently with Android 4.3} this card has been a delightful slam dunk on all four counts.  I was reminded of this today when I slammed 30+gb of MP3's from my PC onto my S3's card.  The card handled the massive data dump with grace and aplomb, and I'm now able to use my phone to wirelessly stream my entire music library to my new bluetooth-compatible bookshelf stereo.Color me very satisfied.",5,Pozitif
I used these in a home brew project where speed was a major driving factor.  I used two of these in a raid adapter and they were just awesome.,5,Pozitif
"needed more room on the phone and I picked this card up. Popped it in and let the phone format it, works just fine. Specs say that this phone max out with 32 GB card but that's just not true.  Really glad I got this card, it's fast so when I am taking photo's in burst mode it moves every one.... Not missing out on photo's due to a slow card.",5,Pozitif
It work great in my Asus Tablet for 3 months then it just completely died. It was not recognized by any of my devices. It had just died.I have RMA'd it to Sandisk. The prcess was painless and my replacement should arrive within a few days. They emailed me a return label thru UPS and sent it off last week.When it worked the performance was great and access times were very fast. No lag in reading and writing data.If you get this just make sure you have a back up of your data incase of failure. Had my Tablet synced to my cloud service so I did not lose anything. I have purchased other Sandisk items and have never had a issue.,3,Negatif
"Hasn't even blinked in my MP3 player, and gave me loads of room for expanding my library.  I trust the SanDisk name with all my electronic gear.",5,Pozitif
"It is exactly what it is advertised to be. Shipped fast, and I love the converter that comes with it so I can plug it into my computer.",4,Pozitif
It looks like what's it's supposed to look like.  It does what's it's supposed to do.  I got it for quite a decent price and in timely manner.  #goodstuff,5,Pozitif
"Not a steal at $62 but anything under $1 per GB is a decent price for high end SanDisk Class 10 memory. The real value was in being assured of authentic SanDisk product and a very fast delivery. I would buy again from this seller.  The 64GB microSD installed, reformatted to NSFS with no issues, and performs as advertised.",5,Pozitif
The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,4,Pozitif
"Popped this into my Samsung Galaxy S4 right out of the box. No issues whatsoever. Have saved music, movies, photos, etc, with no issue. The adapter works in my computer and printer.",5,Pozitif
"This card is great. Ive noticed slight improvement in every aspect of my phone. So much space! Very pleased. Came on time. Brand new. Easy to open thanks to Amazon. And it mentions on the tiny booklet that this thing is temperature resistant. Thats a big plus since overuse of smartphones tend to heat em up pretty good. Being from Texas, the heat out here only makes em hotter. And my last SD seems to have fried. Well this is a good buy. If i need another i'd definitly buy again. Maybe the black and gold one. It only available in 16GB but its super fast.",4,Pozitif
"SanDisk has always provided me with a reliable memory product. In the case of this 32 GB card, it went into a Samsung Note 8.0 and my wife could not be more pleased.PROS: Reputable brand, priceCONS: none noted.",5,Pozitif
